SampleSiteID,SampleSiteCode,Site_Veg,Needles,Genus,LMA_gm2,LWA_gm2,LWC_%,d15N,d13C,N_weight_percent,C_weight_percent,CN,1C,8P,8U,Al,As,Co,Cr,Cu,Mo,Na,Ni,Se,Si,Sr,Zn
11,011-ER18,Meadow,False,,85.95871837375,186.90926306933582,68.4375,3.27,-26.74,2.64,47.21,20.854394320367373,146.86567164179104,104.02985074626864,5.099502487562188,110455.223880597,,70.3731343283582,605.820895522388,5990.8955223880575,1350.3482587064675,13768.65671641791,1046.4179104477612,469.15422885572127,21953.358208955226,30025.87064676616,28660.22388059701
12,012-ER18,Meadow,False,,64.49238118,128.88298585136897,66.6,1.53,-26.99,3.47,46.1,15.493122618882888,138.69135802469134,25.308641975308646,,15256.049382716048,,28.34567901234568,2230.197530864197,8655.555555555555,803.8024691358023,1389.9506172839506,1121.679012345679,129.58024691358023,21051.728395061724,12300.0,25400.765432098764
13,013-ER18,Meadow,False,,95.26581222205881,244.83958295579424,71.83235294117647,1.98,-26.28,3.14,44.58,16.556857979978467,570.9629629629628,54.66666666666666,,37588.39506172839,,111.358024691358,503.1358024691357,8693.012345679012,1202.6666666666665,7769.753086419752,1308.9629629629628,329.0123456790123,27743.333333333325,50708.39506172839,31201.5061728395
14,014-ER18,Meadow,False,,95.59690803785716,164.85834903565313,63.73571428571429,2.6,-26.6,2.53,48.47,22.341894978953384,,,,,,,,,,,,,,,
15,015-ER18,Meadow,False,,97.49891482294117,334.1738708069938,76.45882352941176,1.24,-26.25,4.02,45.73,13.266081338667053,635.7530864197531,152.86419753086417,,94006.4197530864,,62.76543209876542,553.7530864197531,8205.061728395061,792.6666666666667,28406.419753086422,1287.7037037037035,416.0740740740741,24878.395061728388,15924.1975308642,25157.8024691358
16,016-ER18,Meadow,False,,119.35161613875,116.20930731496637,35.4375,1.36,-26.34,3.36,44.73,15.524839830317967,102.5,36.534653465346544,,23554.702970297032,,74.0841584158416,353.1683168316831,5612.1287128712875,1563.8861386138615,16349.257425742575,2056.089108910891,422.17821782178214,22758.04455445544,50214.851485148516,24387.89603960396
17,017-ER18,Meadow,False,,58.37851734,72.77968831564009,55.5,1.25,-25.62,4.06,46.88,13.46570441028343,30.29556650246305,52.512315270935964,,29588.669950738917,,33.32512315270935,338.3004926108375,8820.049261083743,683.6699507389162,6079.310344827585,2668.0295566502464,724.0640394088667,21757.26600985221,33143.34975369458,16370.714285714284
18,018-ER18,Meadow,False,,88.99693348777777,312.4602384954953,77.08888888888889,0.82,-26.2,2.81,46.06,19.115476185573204,130.59259259259258,32.395061728395056,,25359.25925925926,,107.30864197530865,340.1481481481481,8040.04938271605,611.4567901234567,5428.197530864198,2361.8024691358028,165.01234567901238,24281.11111111111,9803.555555555555,18122.0
19,019-ER18,Meadow,False,,95.17261692374998,290.2839520768538,74.4375,1.09,-26.46,3.92,45.75,13.61045170522271,62.76543209876542,45.55555555555554,,29064.44444444445,,93.1358024691358,488.9629629629629,6456.74074074074,1275.5555555555557,4791.432098765432,2235.259259259259,339.1358024691358,33412.46913580247,30107.160493827163,31302.740740740737
20,020-ER18,Engelmann,True,Picea,412.9,316.08792564451244,43.4,,-24.2,0.79,46.54,68.70159108128586,162.3762376237624,80.17326732673268,,63732.673267326725,,60.8910891089109,254.72772277227725,1402.5247524752474,350.12376237623766,10757.425742574258,1838.910891089109,-39.57920792079208,42425.86633663366,12939.356435643564,59968.5891089109
21,021-ER18,wolfii,False,Salix,54.3,107.12727781031363,66.3,1.69,-24.61,3.66,46.82,14.918248305097356,2436.306532663317,113.31658291457286,8.241206030150755,50477.38693467337,,514.0452261306533,399.6984924623116,6523.94472361809,219.42211055276385,49612.06030150754,4153.567839195981,700.5025125628142,22410.929648241206,41298.743718592974,139473.14070351762
22,022-ER18,boothii,False,Salix,63.9,127.52388607989904,66.6,1.58,-24.95,3.62,49.68,16.004441527667296,3590.8564231738037,56.801007556675046,,19539.546599496218,,190.02518891687657,396.57430730478586,7412.015113350126,175.5667506297229,16472.292191435765,5959.974811083122,825.1637279596977,21620.5289672544,39450.881612090685,111423.95465994961
23,023-ER18,wolfii,False,Salix,68.0,115.47045974160983,62.9,1.2,-26.12,2.87,46.25,18.79305340078732,,,,,,,,,,,,,,,
24,024-ER18,boothii,False,Salix,63.0,123.64589029213415,66.2,2.32,-25.19,4.08,48.15,13.762699766727609,2392.0049504950503,70.02475247524754,,24397.029702970296,,1171.138613861386,422.17821782178214,10093.712871287127,150.1980198019802,80660.39603960398,4297.896039603961,1973.8861386138615,23397.40099009901,36900.0,140750.7673267327
25,025-ER18,PotFru,False,Pentaphylloides,74.0,110.77176653092883,59.9,1.35,-25.01,2.81,42.06,17.455426147746614,13.225806451612904,107.84119106699751,,52669.23076923077,,47.81637717121589,386.6004962779156,5184.5161290322585,1446.6997518610422,23206.20347394541,716.2282878411911,511.73697270471473,21695.4094292804,14609.429280397024,26320.372208436733
26,026-ER18,Sage,False,Artemisia ,125.0,199.5115956139371,61.5,1.76,-25.48,2.2,47.13,24.982866451656363,127.34848484848484,69.36868686868685,,39219.19191919192,,33.13131313131313,418.28282828282823,7890.429292929293,448.30808080808083,9142.171717171715,307.5,230.88383838383842,22513.762626262618,5230.60606060606,17457.095959595958
27,027-ER18,wolfii,False,Salix,63.7,109.48849352320391,63.2,0.59,-25.36,3.07,46.62,17.709300249622697,1840.421836228288,50.86848635235733,,38792.307692307695,,224.83870967741936,406.9478908188586,5501.93548387097,193.3002481389578,11028.287841191066,1483.3250620347394,635.8560794044665,23414.76426799008,38934.7394540943,98360.32258064515
28,028-ER18,brachy,False,Salix,64.9,135.35538395320043,67.6,1.72,-24.51,4.08,44.15,12.619380990675472,1354.1191066997521,41.71215880893301,,15423.32506203474,,514.789081885856,379.47890818858565,5958.7344913151355,154.64019851116626,9767.766749379654,1483.3250620347394,1165.9057071960299,21146.029776674943,23206.20347394541,114037.9900744417
29,029-ER18,wolfii,False,Salix,64.6,110.05761497304223,63.0,2.77,-25.38,3.04,45.97,17.63471428217734,1158.9195979899498,47.386934673366845,,28184.92462311558,,211.1809045226131,387.3366834170855,5717.3366834170865,240.02512562814076,15802.51256281407,2003.6432160804025,597.4874371859297,21751.633165829142,23013.56783919598,70556.05527638191
30,030-ER18,PotFru,False,Pentaphylloides,84.5,117.10183993504161,58.1,1.19,-24.23,2.47,42.7,20.160366790354175,5.0492610837438425,111.08374384236453,,54663.30049261083,,74.72906403940884,1193.6453201970442,5477.438423645321,764.4581280788177,18338.916256157638,825.0492610837439,168.64532019704438,23413.423645320192,11219.458128078815,17350.27093596059
31,031-ER18,Engelmann,True,Picea,355.8,318.64247845060777,47.2,,-25.28,0.9,47.7,61.80781303337857,21.206896551724142,145.41871921182266,,36879.80295566502,,32.31527093596059,830.0985221674874,1620.812807881773,30.29556650246305,8324.211822660098,457.46305418719214,33.32512315270937,53072.783251231536,42827.83251231526,24752.487684729058
32,032-ER18,Engelmann,True,Picea,437.0,324.73172096035796,42.6,,-25.22,0.77,47.65,72.16717204215851,6.089108910891089,65.96534653465346,,31856.18811881188,,43.63861386138614,529.7524752475248,1384.2574257425745,74.0841584158416,5823.217821782177,457.6980198019803,-11.163366336633661,51995.91584158416,56182.178217821776,26985.91584158416
33,033-ER18,Aspen,False,Populus,73.0,104.17151547531293,58.8,0.81,-24.35,3.47,51.02,17.146618568663882,551.4143920595535,48.83374689826304,,18068.48635235732,,1010.2481389578163,408.98263027295286,4661.5880893300255,97.66749379652607,155.6575682382134,796.6004962779158,253.3250620347395,28115.012406947884,15321.588089330027,89326.07940446651
34,034-ER18,Aspen,False,Populus,78.6,120.62528791239282,60.6,2.07,-24.52,3.09,51.07,19.274134527780696,452.13032581453626,93.50877192982458,,5949.624060150377,,345.26315789473693,329.84962406015035,4361.002506265664,68.84711779448622,565.1629072681704,1088.1954887218044,21.57894736842107,22642.481203007523,9346.766917293233,59620.57644110276
35,035-ER18,Engelmann,True,Picea,338.8,292.5046869619559,46.3,,-24.72,0.99,48.04,56.589428971288484,49.975124378109456,48.95522388059701,,33789.30348258706,,43.85572139303482,370.22388059701484,3230.02487562189,42.83582089552239,,440.5970149253732,209.07960199004975,39373.25870646766,40275.87064676617,20552.01492537313
36,036-ER18,Engelmann,True,Picea,375.6,311.0594652735095,45.3,,-25.13,0.87,47.96,64.28763203385029,39.57920792079208,105.54455445544556,,51574.75247524752,,123.81188118811882,644.430693069307,1692.7722772277225,31.460396039603964,19292.326732673268,660.6683168316832,64.95049504950497,38386.75742574258,38188.86138613862,49282.20297029703
37,037-ER18,Aspen,False,Populus,71.5,114.72734582075618,61.6,2.75,-25.12,3.26,50.13,17.932779646737288,1072.3869346733668,30.90452261306533,,14545.728643216082,,416.18090452261305,435.7537688442212,6497.160804020102,78.29145728643215,2510.4773869346727,1145.527638190955,36.05527638190957,25738.316582914576,20932.66331658292,131025.90452261307
38,038-ER18,Engelmann,True,Picea,415.2,391.2496486126537,48.5,,-24.62,0.82,47.98,68.2360531371722,15.2605459057072,60.02481389578165,,92295.78163771713,,33.573200992555826,738.6104218362282,1917.7419354838707,26.451612903225808,1556.5756823821343,494.4416873449132,168.88337468982638,25612.282878411916,16033.746898263027,22912.18362282879
39,039-ER18,Engelmann,True,Picea,310.4,355.91338145474737,53.4,,-26.08,0.94,49.96,61.98150018361287,32.55583126550869,85.45905707196032,14.243176178660052,219243.17617866007,,59.0074441687345,522.9280397022333,1759.0322580645166,70.19851116625311,7298.610421836229,604.317617866005,136.32754342431764,29885.235732009933,27560.545905707204,29606.476426799014
40,040-ER18,Engelmann,True,Picea,310.6,280.2604312275372,47.4,,-25.64,1.06,48.76,53.64451697236631,66.79197994987469,60.626566416040106,,436203.007518797,,67.81954887218045,436.7167919799499,1649.248120300752,45.21303258145364,,845.6892230576442,83.23308270676692,28253.007518796992,31854.636591478702,29440.877192982454
41,041-ER18,Engelmann,True,Picea,364.3,314.110967030715,46.3,,-24.49,0.67,44.71,77.82110168184613,,68.83950617283949,,57450.61728395062,,36.444444444444436,664.0987654320987,1457.7777777777774,36.444444444444436,3878.2962962962956,451.50617283950623,-19.23456790123456,19492.716049382714,28750.61728395061,14568.666666666664
42,042-ER18,Aspen,False,Populus,83.0,133.05917244724316,61.6,3.79,-24.55,2.53,47.18,21.747278834475363,484.2679900744416,42.72952853598016,,56189.3300248139,,439.5037220843672,455.78163771712167,5973.995037220843,45.78163771712159,925.8064516129034,999.057071960298,151.58808933002484,28776.302729528536,20988.33746898263,88847.91563275436
43,043-ER18,Lodgepole,True,Pinus,336.2,334.40330265885865,49.9,-0.81,-26.11,1.12,50.02,52.082661858652216,122.38805970149254,90.77114427860695,,545544.7761194028,,38.75621890547264,555.8457711442786,1552.2885572139303,45.8955223880597,4278.4825870646755,231.51741293532342,100.97014925373136,22912.064676616916,18021.641791044774,33616.940298507456
44,044-ER18,Meadow,False,,48.03398985,232.35925177117466,82.9,3.98,-24.65,3.52,46.62,15.445327206347066,2089.875311720698,64.4139650872818,,55856.10972568578,,33.740648379052374,453.96508728179566,10500.498753117206,469.3017456359102,4259.5012468827945,616.5336658354114,579.7256857855361,24001.870324189527,12985.037406483789,49436.18453865336
45,045-ER18,Meadow,False,,62.715390702499995,212.56448627447648,77.06875,1.42,-26.59,2.53,46.91,21.622824292607866,103.51485148514851,85.24752475247526,5.0742574257425765,106660.8910891089,,77.12871287128714,656.6089108910891,5780.594059405941,3413.9603960396043,2790.841584158416,1552.7227722772282,475.96534653465346,26320.17326732674,18683.41584158416,20338.638613861396
46,046-ER18,Meadow,False,,48.03398985,232.35925177117466,82.9,3.73,-25.41,3.87,46.35,13.96710123395786,873.9205955334987,55.95533498759305,,44764.267990074455,,35.60794044665013,428.3126550868486,8802.282878411908,870.8684863523572,869.8511166253102,1091.637717121588,542.2580645161291,24045.533498759312,9258.064516129032,48682.158808932996
47,047-ER18,Meadow,False,,103.33872404617647,189.74491381501747,66.08529411764705,1.92,-26.72,3.09,45.65,17.228592935053623,371.6256157635468,73.7192118226601,,71366.25615763548,,110.07389162561577,1423.8916256157631,8523.152709359605,3563.768472906403,10542.85714285714,2298.423645320197,252.46305418719209,28866.625615763536,19288.177339901482,40597.06896551724
48,048-ER18,Meadow,False,,85.47271135882353,277.4084898022478,75.32352941176471,1.25,-26.53,3.39,44.51,15.311770234962323,163.5960591133005,46.45320197044335,,46897.53694581281,,99.97536945812807,681.6502463054188,7035.640394088669,2209.5566502463057,5096.7241379310335,2492.315270935961,469.58128078817725,24958.49753694581,29517.980295566504,31478.103448275866
49,049-ER18,Meadow,False,,100.28748728000001,159.43553640839897,61.205263157894734,1.39,-26.19,2.22,48.25,25.34614124477746,386.5422885572138,88.73134328358208,,66191.5422885572,,42.83582089552239,457.9353233830845,9507.512437810943,1187.1641791044776,9053.656716417912,1375.8457711442786,171.34328358208958,24880.472636815917,10545.771144278606,21184.353233830847
50,050-ER18,Meadow,False,,98.47207517026315,161.68696414227892,62.060526315789474,1.13,-26.54,2.02,48.44,27.96535086247766,325.55831265508687,95.63275434243178,5.086848635235733,80962.2828784119,,43.7468982630273,443.573200992556,9161.414392059554,495.4590570719603,1237.12158808933,1499.6029776674936,308.26302729528544,23608.064516129038,11068.982630272954,18506.97270471464
51,051-ER18,Meadow,False,,64.8510239017647,133.74066949510012,62.6764705882353,1.84,-26.13,3.77,45.87,14.189101565692786,42.62376237623764,20.297029702970306,,17485.891089108914,,35.519801980198025,367.37623762376234,10503.712871287127,460.7425742574258,3359.158415841585,1239.1336633663368,271.980198019802,23316.212871287127,28842.0792079208,26397.301980198023
52,052-ER18,Meadow,False,,97.36387726763158,141.3464675540126,58.992105263157896,1.44,-25.15,2.73,44.05,18.817016823003147,114.67821782178218,85.24752475247526,,60546.0396039604,,124.8267326732673,432.3267326732674,8760.198019801981,2576.7079207920788,22986.386138613863,3474.851485148515,570.3465346534655,20190.4702970297,18115.09900990099,35764.381188118816
53,053-ER18,Meadow,False,,121.13762963333335,51.4181375888178,26.594444444444445,1.58,-26.78,3.34,45.39,15.848246715540919,138.04020100502515,39.145728643216074,,25547.738693467334,,56.65829145728643,404.8492462311558,5228.015075376885,2132.412060301508,1604.9748743718594,1437.060301507538,333.76884422110555,23235.050251256278,35952.26130653266,28340.47738693468
54,054-ER18,Meadow,False,,56.85255069083333,189.0594201539753,74.38055555555556,2.91,-26.14,3.85,43.71,13.239987785782786,306.2025316455696,86.15189873417721,,26707.088607594942,,29.063291139240505,474.35443037974676,10298.784810126584,436.9873417721519,13908.860759493671,2826.4050632911394,263.6455696202531,23307.72151898734,28793.417721518985,31254.45569620253
55,055-ER18,boothii,False,Salix,78.9,127.21719859482519,61.7,3.44,-25.86,3.45,47.82,16.164340274849128,390.7654320987654,42.518518518518526,,27586.419753086422,,676.2469135802469,357.358024691358,6853.580246913579,72.8888888888889,21168.148148148146,1993.3086419753085,363.432098765432,21578.148148148146,21208.64197530864,142427.9259259259
56,056-ER18,boothii,False,Salix,80.1,111.18284197690265,58.1,0.13,-25.86,3.28,50.01,17.78076811895572,1389.3316831683167,62.92079207920793,,31663.366336633662,,618.0445544554457,377.5247524752476,9878.564356435645,207.02970297029702,9794.331683168315,2499.5792079207918,997.5990099009905,22575.371287128717,17485.891089108914,128877.00495049507
57,057-ER18,planifolia,False,Salix,74.9,100.02994723729016,57.2,4.55,-25.05,2.94,41.59,16.49715661698251,1466.0297766749381,46.79900744416874,,26583.870967741932,,1077.394540942928,347.94044665012416,7332.183622828786,165.83126550868488,19004.46650124069,2054.069478908189,224.83870967741944,22468.610421836227,15809.925558312656,139879.18114143927
58,058-ER18,boothii,False,Salix,60.2,114.78520219558642,65.6,4.19,-27.04,3.19,45.46,16.619052348124384,927.356608478803,56.23441396508727,,44834.164588528685,,659.4763092269326,371.147132169576,7328.877805486284,166.6583541147132,21133.915211970074,2231.995012468828,1237.1571072319202,21404.86284289276,34435.9102244389,129636.68329177055
59,059-ER18,DisInv,False,Distegia,53.6,119.53840498016946,69.1,3.05,-23.82,3.02,48.02,18.543116218060973,19.282178217821784,47.6980198019802,18.267326732673272,25097.277227722778,,24.356435643564357,242.54950495049502,6812.69801980198,178.6138613861386,13223.514851485148,1134.6039603960394,505.3960396039605,19033.539603960395,20307.178217821784,19699.282178217825
60,060-ER18,PotFru,False,Pentaphylloides,94.6,129.28958560856324,57.8,2.09,-25.8,2.48,43.31,20.365918917191312,70.6896551724138,135.32019704433498,10.098522167487683,97683.00492610838,,81.79802955665025,442.3152709359605,7141.67487684729,379.70443349753685,16591.871921182264,2044.9507389162561,473.6206896551723,19555.7881773399,21368.472906403942,30034.014778325123
61,061-ER18,Snowberry,False,Symphoricarpos,62.7,107.67500124827808,63.2,2.29,-23.11,3.71,47.86,15.0441027909144,11.191066997518613,53.920595533498755,,33074.689826302725,,39.67741935483871,410.0,7394.243176178661,677.5682382133997,17030.76923076923,2926.9727047146407,180.07444168734497,19935.359801488834,17692.059553349878,35334.26799007444
62,062-ER18,boothii,False,Salix,73.0,128.53956883151992,63.8,4.22,-25.78,3.03,48.8,18.782123893323835,745.175,48.175,,35259.999999999985,,814.8749999999999,370.025,4733.45,136.325,20254.0,3209.2749999999987,353.625,16558.874999999996,22334.75,80043.275
63,063-ER18,Snowberry,False,Symphoricarpos,74.4,114.67771607379264,60.6,2.16,-24.65,2.52,48.38,22.388903822662886,41.206030150753776,405.87939698492477,,47180.90452261307,,39.145728643216074,485.20100502512565,7586.03015075377,326.5577889447236,10682.663316582917,3000.829145728643,147.31155778894475,19588.316582914573,30028.894472361808,49716.1055276382
64,064-ER18,Snowberry,False,Symphoricarpos,66.9,105.57171343098717,61.2,1.23,-24.76,2.83,49.06,20.216623157660862,87.06172839506172,47.58024691358025,,38661.48148148147,,32.395061728395056,343.1851851851852,5544.617283950616,1067.0123456790122,6951.777777777778,1207.7283950617284,71.87654320987653,17953.95061728395,21805.925925925923,40930.14814814815
65,065-ER18,Meadow,False,,67.69228896,240.20744427496717,78.0,2.88,-24.88,4.05,46.61,13.421207386376777,54.18952618453865,59.301745635910216,,53545.38653366584,,28.6284289276808,423.29177057356605,11911.471321695759,2061.2468827930174,,514.2892768079802,125.76059850374064,20402.867830423937,27902.49376558603,69946.40897755613
66,066-ER18,Meadow,False,,72.319248501,126.64614626263132,63.263333333333335,-0.13,-25.43,4.03,46.41,13.429938681020174,56.37499999999999,57.4,,26619.25,,41.0,553.5,8343.5,1526.225,2790.05,859.975,38.94999999999999,28151.625000000004,61418.00000000001,34676.775
67,067-ER18,Meadow,False,,59.5537977365625,167.45997050193301,72.965625,0.08,-25.64,4.1,45.7,12.998697908998626,48.95522388059701,56.09452736318407,,61183.830845771154,,35.69651741293532,472.21393034825866,6561.019900497511,3105.597014925373,5709.4029850746265,773.0845771144278,83.6318407960199,22504.104477611934,72627.11442786071,30587.83582089552
68,068-ER18,Meadow,False,,53.75981927166667,150.52140165264376,73.73,-0.26,-26.89,3.25,45.53,16.33735690803905,93.18181818181816,99.3939393939394,6.212121212121213,111714.64646464649,,100.42929292929293,566.3383838383841,8926.818181818182,1346.9949494949494,5715.151515151514,844.8484848484846,301.28787878787875,26023.611111111102,78479.79797979796,32966.691919191915
69,069-ER18,Meadow,False,,52.324277930625,138.45857640632093,73.08125,-0.41,-25.22,4.96,46.38,10.904771639105672,19.37810945273632,42.83582089552239,,37114.17910447761,,72.41293532338307,1330.9701492537308,6950.621890547263,1445.1990049751246,3564.5522388059712,2277.437810945273,115.24875621890546,29286.44278606965,39123.38308457712,50618.681592039786
70,070-ER18,Meadow,False,,51.00275545694445,152.69513745290715,75.225,-1.58,-27.51,3.03,44.48,17.119444073259103,256.12345679012344,45.55555555555554,,41546.66666666666,,91.11111111111109,408.98765432098764,7788.9876543209875,1134.8395061728395,9498.83950617284,1512.4444444444446,56.69135802469136,22337.4074074074,90544.1975308642,39411.62962962963
71,071-ER18,Meadow,False,,58.62706054,165.88821098883875,73.9,0.7,-25.39,3.95,47.0,13.876127119984682,13.527918781725885,20.81218274111676,,19417.766497461933,,22.893401015228427,258.07106598984774,8508.020304568528,327.7918781725889,,1233.1218274111675,70.76142131979698,17175.253807106597,40063.45177664975,19106.624365482243
72,072-ER18,Meadow,False,,58.62706054000001,165.88821098883875,73.9,0.26,-25.96,3.12,45.8,17.118999981426814,59.301745635910216,35.785536159601,,39128.927680798006,,37.830423940149615,379.32668329177056,8288.952618453863,511.22194513715715,930.423940149626,935.5361596009973,84.86284289276806,21537.780548628427,53279.551122194505,25408.753117206983
73,073-ER18,Meadow,False,,64.41507827805555,260.74169470473964,76.75833333333334,1.32,-25.67,3.74,45.78,14.27485460936369,44.76426799007445,29.50372208436725,,34041.191066997526,,41.71215880893301,392.7047146401985,8715.806451612905,943.1017369727048,746.7493796526054,1332.7543424317619,96.6501240694789,24208.312655086847,37947.89081885856,26361.066997518617
74,074-ER18,Meadow,False,,64.066197592,210.4797509605158,76.36,0.67,-24.75,3.15,44.98,16.652383529448144,169.06172839506172,66.81481481481481,,64324.44444444443,,35.4320987654321,412.0246913580246,11895.061728395061,484.9135802469135,,1025.506172839506,35.43209876543212,23127.03703703704,79104.69135802469,29541.259259259263
75,075-ER18,Meadow,False,,59.70351344625001,200.13479824196287,76.55,1.01,-26.38,3.11,44.44,16.66407335559876,99.20987654320987,45.55555555555554,,39491.6049382716,,43.53086419753086,405.9506172839506,8951.160493827161,992.0987654320987,,1392.9876543209875,65.80246913580248,23916.666666666664,64547.160493827156,27101.5061728395
76,076-ER18,Meadow,False,,60.850874729615384,207.42967265024873,76.07307692307693,0.54,-26.36,3.5,45.49,15.157075012875422,44.87562189054726,62.21393034825871,15.298507462686567,35227.36318407959,,50.995024875621894,414.07960199004975,10331.592039800997,862.8358208955223,908.731343283582,1312.6119402985073,143.80597014925374,24625.497512437807,72208.95522388058,34616.442786069645
77,077-ER18,Meadow,False,,58.3712110215625,132.33830571815878,69.565625,0.36,-25.26,4.4,46.6,12.350960923479596,383.2160804020101,75.20100502512564,,30276.130653266333,,90.6532663316583,588.2160804020101,11105.025125628139,704.6231155778895,3845.552763819096,3378.894472361809,238.994974874372,26243.09045226131,53351.507537688434,54362.08542713568
78,078-ER18,Meadow,False,,64.02638534674999,233.49923581696342,78.0575,1.57,-25.27,3.29,45.43,16.103280071723283,140.7462686567164,45.8955223880597,,54187.313432835814,,38.75621890547264,439.57711442786064,13656.46766169154,1089.2537313432838,259.05472636815915,984.2039800995024,77.51243781094526,23921.766169154227,80939.30348258706,38522.66169154229
79,079-ER18,Meadow,False,,67.69228896,240.20744427496712,78.0,2.28,-24.44,3.4,45.9,15.743499546237935,289.53086419753083,57.7037037037037,,58169.382716049375,,33.407407407407405,422.148148148148,16521.48148148148,920.2222222222223,19477.530864197528,513.2592592592592,-66.81481481481481,20667.03703703704,62137.777777777774,34896.567901234564
80,080-ER18,Meadow,False,,46.91713542944444,151.3048978759387,76.55,1.75,-25.29,3.61,45.79,14.792137975217711,131.24069478908189,80.37220843672458,,94259.30521091813,,44.76426799007445,511.73697270471473,10489.08188585608,637.8908188585607,5467.344913151364,2562.7543424317623,164.81389578163774,26405.83126550868,77533.74689826302,35649.65260545905
81,081-ER18,Meadow,False,,45.295003881875,146.88220323133913,76.60625,2.55,-25.39,3.56,45.99,15.065408741811963,45.67088607594936,57.088607594936704,,64510.12658227848,,35.29113924050633,513.7974683544303,10473.164556962023,1546.5822784810125,15247.84810126582,4377.139240506329,147.39240506329114,22332.025316455693,55303.2911392405,31825.341772151904
82,082-ER18,Meadow,False,,47.83949263090909,130.5931296305249,73.2909090909091,0.06,-25.01,4.24,46.07,12.671261776645386,129.85037406483792,66.45885286783042,,46613.21695760599,,96.10972568578552,474.4139650872818,9942.244389027432,491.7955112219451,1619.5511221945135,2608.254364089776,205.51122194513715,23521.321695760595,52574.064837905236,46644.91271820449
